timestamp_ms,x_mm,y_mm,z_mm,yaw_rad
1762860619346,167.647,1857.36,-98.8293,0.644739
1762860619437,181.913,1836.36,-96.114,0.734455
1762860619514,203.365,1899.63,-98.2221,0.800129
1762860619548,232.33,2036.13,-103.889,0.84114
1762860619572,232.33,2036.13,-103.889,0.84114
1762860619601,232.33,2036.13,-103.889,0.84114
1762860619640,232.33,2036.13,-103.889,0.84114
1762860619706,-162.141,1916.73,-105.385,-0.756718
1762860619738,-144.504,1900.94,-105.499,-0.672808
1762860619770,-126.121,1899.65,-105.945,-0.588061
1762860619804,-103.709,1833.59,-102.753,-0.549465
1762860619837,-77.4617,1660.97,-91.8965,-0.597707
1762860619875,-64.7792,1865.6,-104.663,-0.360814
1762860619909,-41.8787,1849.89,-104.096,-0.305088
1762860619942,-19.5497,1813.78,-102.093,-0.274432
1762860619974,2.38528,1833.55,-103.254,-0.2147
1762860620007,24.4405,1820.53,-102.295,-0.255174
1762860620040,47.6973,1796.64,-100.126,0.272074
1762860620074,68.9635,1776.19,-98.7573,0.338768
1762860620107,90.3693,1784.79,-98.9124,0.384282
1762860620135,90.3693,1784.79,-98.9124,0.384282
1762860620168,131.019,1796.66,-97.7624,0.527626
1762860620201,152.213,1828.45,-98.0864,0.585232
1762860620233,170.71,1841.2,-98.0406,0.666454
1762860620265,170.71,1841.2,-98.0406,0.666454
1762860620301,170.71,1841.2,-98.0406,0.666454
1762860620332,170.71,1841.2,-98.0406,0.666454
1762860620563,-123.246,1904.02,-103.687,-0.567018
1762860620597,-100.564,1846.78,-101.236,-0.520892
1762860620629,-81.1992,1868.46,-102.493,-0.422953
1762860620668,-59.2846,1860.66,-102.288,-0.329789
1762860620704,-37.2381,1883.78,-103.219,-0.202918
1762860620740,-14.4209,1865.52,-102.231,-0.123352
1762860620774,9.17324,1879.14,-103.127,-0.0521429
1762860620811,32.4236,1871.77,-102.278,0.085926
1762860620847,54.1571,1805.84,-98.1732,0.258566
1762860620884,77.3413,1848.01,-99.9024,0.287725
1762860620920,98.9936,1841.07,-99.2534,0.373245
1762860620952,110.007,1712.03,-88.9396,-0.601054
1762860620993,138.354,1826.74,-96.7761,0.545557
1762860621028,161.974,1886.58,-98.6542,0.592956
1762860621060,172.843,1814.78,-94.2829,0.727307
1762860621092,194.218,1872.2,-95.8993,0.781534
1762860621125,194.218,1872.2,-95.8993,0.781534
1762860621157,244.313,2079.5,-104.331,0.898034
1762860621185,244.313,2079.5,-104.331,0.898034
1762860621218,244.313,2079.5,-104.331,0.898034
1762860621259,244.313,2079.5,-104.331,0.898034
1762860621322,-152.82,1893.14,-103.906,-0.722215
1762860621356,-134.573,1873.54,-102.984,-0.629022
1762860621389,-115.196,1853.86,-102.565,-0.548498
1762860621423,-94.8081,1833.91,-102.007,-0.480709
1762860621458,-74.3347,1825.92,-101.573,-0.399004
1762860621492,-51.4371,1824.16,-101.454,0.273289
1762860621524,-31.124,1858.14,-103.364,-0.148247
1762860621556,-8.50964,1863.08,-103.56,0.0175496
1762860621590,13.7968,1854.42,-103.145,0.0191907
1762860621623,36.7883,1834.14,-100.925,0.167786
1762860621655,59.8613,1856.67,-102.468,0.203641
1762860621689,80.4609,1807.21,-98.6291,0.340348
1762860621722,99.8196,1778.3,-96.4094,0.441988
1762860621753,122.051,1818.91,-97.3989,0.474662
1762860621785,142.015,1826.1,-97.3951,0.554516
1762860621818,158.553,1803.97,-95.1597,0.651878
1762860621851,179.52,1856.72,-97.7157,0.711632
1762860621883,203.042,1933.19,-99.2633,0.754172
1762860621915,211.199,1882.19,-96.2937,0.86949
1762860621950,238.128,2011.7,-102.001,0.922113
1762860621976,238.128,2011.7,-102.001,0.922113
1762860622009,238.128,2011.7,-102.001,0.922113
1762860622048,238.128,2011.7,-102.001,0.922113
1762860622113,-149.755,1910.45,-105.6,-0.713679
1762860622148,-130.265,1878.39,-103.604,-0.627573
1762860622179,-111.774,1885.99,-105.417,-0.533303
1762860622213,-87.4243,1791.81,-100.199,-0.51963
1762860622247,-68.9195,1825.57,-102.373,-0.414376
1762860622283,-47.7314,1826.31,-103.465,-0.335693
1762860622316,-26.0452,1853.85,-104.062,-0.20206
1762860622350,-3.42581,1856,-104.116,-0.110406
1762860622385,18.5104,1821.08,-102.447,-0.215728
1762860622417,42.0258,1833.13,-102.737,0.163439
1762860622450,64.4622,1832.55,-101.791,0.245582
1762860622483,86.6693,1840.36,-101.993,0.311604
1762860622519,106.053,1806.75,-99.7271,0.414476
1762860622550,124.723,1787.46,-97.4876,0.514625
1762860622578,147.191,1829.37,-98.3957,0.573377
1762860622609,166.685,1850.18,-98.6985,0.633344
1762860622642,183.224,1856.05,-98.9077,0.724139
1762860622676,200.905,1875.5,-98.0282,0.800075
1762860622709,200.905,1875.5,-98.0282,0.800075
1762860622735,200.905,1875.5,-98.0282,0.800075
1762860622768,200.905,1875.5,-98.0282,0.800075
1762860622841,-183.618,1980.72,-105.87,-0.83724
1762860622974,-108.229,1888.75,-103.953,-0.513214
1762860623005,-72.0054,1560.63,-82.899,0.664086
1762860623038,-63.6773,1827.56,-100.824,-0.413073
1762860623074,-42.5345,1851.87,-102.61,-0.305701
1762860623111,-20.1606,1880.39,-103.464,-0.125331
1762860623142,2.65849,1874.75,-102.981,-0.0520337
1762860623174,26.5603,1885.84,-102.928,0.0141757
1762860623206,48.9151,1857.94,-101.055,0.160958
1762860623240,71.0263,1837.84,-99.8455,0.288972
1762860623273,92.3343,1825.55,-98.7172,0.374735
1762860623308,114.25,1834.2,-97.618,0.441449
1762860623338,139.201,1906.69,-100.608,0.463423
1762860623369,155.731,1866.28,-97.652,0.58618
1762860623402,171.679,1845.28,-95.6904,0.680098
1762860623434,198.329,1956.95,-100.55,0.720397
1762860623466,198.329,1956.95,-100.55,0.720397
1762860623500,232.431,2004.12,-99.8931,0.885816
1762860623527,232.431,2004.12,-99.8931,0.885816
1762860623560,232.431,2004.12,-99.8931,0.885816
1762860623600,232.431,2004.12,-99.8931,0.885816
1762860623732,-117.596,1819.26,-101.198,-0.61215
1762860623765,-99.2031,1819.63,-101.599,-0.52182
1762860623801,-76.6443,1795.46,-100.248,0.397667
1762860623837,-58.6215,1836.34,-102.648,-0.327166
1762860623873,-36.522,1805.86,-101.327,-0.295793
1762860623909,-14.9762,1854.6,-103.48,0.0269362
1762860623943,8.10521,1854.32,-103.503,0.0508796
1762860623979,30.3754,1829.46,-102.045,0.106437
1762860624013,53.1715,1823.21,-101.126,0.235549
1762860624047,74.8956,1802.56,-99.0443,0.314957
1762860624076,96.2365,1818.93,-99.437,0.374349
1762860624106,109.829,1697.93,-90.7015,0.551424
1762860624139,135.054,1800.64,-97.6278,0.543142
